date,coin_id,price_usd,daily_active_addresses,transaction_volume,marketcap_usd,whale_trans_count_100k,whale_trans_volume_100k,whale_trans_count_1m,whale_trans_volume_1m
2024-01-01,bitcoin,44167.33021407736,831736.0,209188.86163184035,865106026911.0,6019.0,8016904079.887397,1388.0,6471024872.316324
2024-01-02,bitcoin,44951.13800528624,873732.0,354854.98505619,880497811769.0,10214.0,14718596598.18247,2482.0,12058958696.057041
2024-01-03,bitcoin,42848.17564096547,954003.0,354921.6270632201,839345928378.0,10996.0,14175297262.993204,2267.0,11073914373.031036
2024-01-04,bitcoin,44200.715873151996,1016355.0,425178.92115403997,865889813919.0,18409.0,17080479569.126099,2681.0,12279176141.791683
2024-01-05,bitcoin,44160.760982627755,865666.0,363887.2588360997,865144901223.0,16465.0,14586753622.989866,2157.0,10530149614.699223
2024-01-06,bitcoin,43975.11896859911,810976.0,278834.41769522,861546238919.0,8177.0,11076647524.50802,1541.0,9121071615.18228
2024-01-07,bitcoin,43943.0972289695,721697.0,247077.98293192004,860951836726.0,7448.0,9880555721.561335,1440.0,8170962230.678684
2024-01-08,bitcoin,46962.42678145474,758832.0,322305.5807325201,920144220414.0,11436.0,13202829771.077387,2273.0,10286877421.456936
2024-01-09,bitcoin,46139.73037485253,925100.0,406093.2817837001,904067321453.0,14240.0,17302862102.476154,2699.0,13748052227.80134
2024-01-10,bitcoin,46627.77911196135,852261.0,623411.5097969902,913669280077.0,13831.0,26844278203.118164,3391.0,23575420053.682526
2024-01-11,bitcoin,46368.58538201935,963543.0,492500.39566821017,908639958361.0,13998.0,21355156435.27822,3046.0,17540076686.50023
2024-01-12,bitcoin,42853.16665806203,991475.0,607422.9237430902,839796421013.0,13399.0,25718913220.469624,3128.0,21940611408.5167
2024-01-13,bitcoin,42842.382191236,845393.0,198198.77421708056,839627405357.0,8037.0,7619695418.608345,1578.0,5344478468.094921
2024-01-14,bitcoin,41796.26960642449,710338.0,169159.87684811032,819159863483.0,6694.0,6461907040.044441,1276.0,4396367434.657013
2024-01-15,bitcoin,42511.967720331144,794089.0,257882.38679395014,833216754804.0,9787.0,9871466827.351917,1802.0,7106919328.960114
2024-01-16,bitcoin,43154.94423438237,772981.0,442199.50693544047,845855247845.0,10161.0,17986752610.48557,2373.0,14901543822.753527
2024-01-17,bitcoin,42742.65283731412,811795.0,460905.44732535025,837804850464.0,15990.0,18378190625.78808,2421.0,13812201954.991198
2024-01-18,bitcoin,41262.05836418456,902452.0,450293.34896548034,808819115627.0,16019.0,17553202245.146564,2160.0,13160545107.036285
2024-01-19,bitcoin,41618.40736540423,810060.0,425403.55382349005,815839646533.0,12230.0,16288319294.576202,2384.0,13390325647.43465
2024-01-20,bitcoin,41665.58483621092,827295.0,192459.36025720992,816801167080.0,8715.0,6984856234.331734,1472.0,4999802100.442061
2024-01-21,bitcoin,41545.78351439019,760458.0,153049.81643058002,814488966036.0,6991.0,5545367714.098129,1158.0,4006515016.5534377
2024-01-22,bitcoin,39507.36882382201,969320.0,414636.64926899,774565393661.0,10167.0,15602527867.131182,2294.0,12958446978.086449
2024-01-23,bitcoin,39845.55114679985,866839.0,439607.6755914503,781234029911.0,11560.0,15957719245.718092,2201.0,12936322426.858519
2024-01-24,bitcoin,40077.07326977895,889875.0,447108.14213246014,785809931671.0,9964.0,16611865153.776594,2261.0,14090220483.045338
2024-01-25,bitcoin,39933.80775216996,1100051.0,412886.01854868,783046781498.0,10650.0,15284321619.222874,2398.0,12724101500.796965
2024-01-26,bitcoin,41816.87284400344,903966.0,448323.28829363943,820011355201.0,10972.0,17111702040.112532,2331.0,14269904482.710733
2024-01-27,bitcoin,42120.05635168487,976588.0,160678.67243369014,826001135532.0,6189.0,5711383695.952433,1462.0,4212359658.2605925
2024-01-28,bitcoin,42035.59437217007,897573.0,162727.33677689073,824387868796.0,5583.0,5978522378.353463,1429.0,4652926910.3716135
2024-01-29,bitcoin,43288.245336083455,960066.0,390512.0133918401,848995300208.0,10227.0,15441612728.85499,2046.0,12781295325.319288
2024-01-30,bitcoin,42952.60821024885,908592.0,458647.69698260026,842451754279.0,11204.0,18568564373.19482,2206.0,15774353429.318493
2024-01-31,bitcoin,42582.60638953673,868834.0,519769.1674984597,835231465697.0,10123.0,21082395107.535423,2214.0,18482853368.750286
2024-02-01,bitcoin,43075.77459993694,945474.0,344204.33558757,844943939980.0,11935.0,13199526932.218094,2144.0,10377843792.309519
2024-02-02,bitcoin,43185.85943223562,929530.0,297166.47927621024,847154029605.0,10194.0,11442024996.99699,2065.0,8957192744.980644
2024-02-03,bitcoin,42992.249629221566,816527.0,149941.23758568024,843398823396.0,5762.0,5570429638.879298,1332.0,4139205122.3940334
2024-02-04,bitcoin,42583.58292012941,804932.0,153335.10625870005,835421763160.0,5819.0,5636614526.103068,1337.0,4093588600.303636
2024-02-05,bitcoin,42658.66604833,851830.0,317916.19395701005,836936067591.0,9345.0,12338410103.06898,2183.0,9937687624.630016
2024-02-06,bitcoin,43084.67186353385,858780.0,351891.98969432013,845338495831.0,9363.0,13894918701.751665,2174.0,11676242366.247915
2024-02-07,bitcoin,44318.22445073532,907043.0,282920.03451606026,869585299010.0,9279.0,11049186171.73934,2182.0,8794024947.282469
2024-02-08,bitcoin,45301.56662887088,815496.0,343973.04890518996,888921474480.0,10601.0,14089659296.473135,2388.0,11434113390.63999
2024-02-09,bitcoin,47147.20031261109,960533.0,383577.37558853003,925184504544.0,12120.0,16360635533.776255,2766.0,13322965520.11352
2024-02-10,bitcoin,47771.27736709971,959298.0,185594.83007519026,937476684153.0,8052.0,7623520733.478306,1873.0,5630298985.991996
2024-02-11,bitcoin,48293.916750573015,853542.0,188867.92137822002,947774152970.0,7510.0,8005601578.229477,1702.0,5997772506.133558
2024-02-12,bitcoin,49958.22421902288,1007162.0,408403.1504247301,980490999415.0,12617.0,18414379040.377804,2831.0,15125559098.57063
2024-02-13,bitcoin,49742.440989849856,860503.0,383054.7516549501,976299863552.0,13796.0,17401582363.153465,2577.0,13854203079.99982
2024-02-14,bitcoin,51826.695996087685,797396.0,539394.288306808,1017254026224.0,17622.0,26049743347.138634,2800.0,22348668227.70753
2024-02-15,bitcoin,51932.744115201516,884260.0,400301.32876800006,1019385860793.0,17873.0,19175211358.786404,2969.0,15506119733.060818
2024-02-16,bitcoin,52160.20282901989,855428.0,374760.6393835599,1023893671410.0,15195.0,17962851518.275974,2532.0,14667889254.94843
2024-02-17,bitcoin,51662.99536965269,847995.0,189132.49635016007,1014181383159.0,10795.0,8468026849.825502,1588.0,6216806463.343432
2024-02-18,bitcoin,52122.545455589316,756743.0,148510.76258016017,1023243073518.0,9159.0,6606995427.752382,1514.0,4703651405.058495
2024-02-19,bitcoin,51779.144062050684,874156.0,278674.1823925702,1016544621994.0,12546.0,13184193343.6641,2355.0,10669949291.19216
2024-02-20,bitcoin,52284.873557053805,865764.0,365967.5933334001,1026519013526.0,14386.0,17588175145.82154,2603.0,13892056531.83048
2024-02-21,bitcoin,51839.180531431,822628.0,348949.4780631102,1017814980563.0,16652.0,16588485878.19825,2244.0,12380169909.128592
2024-02-22,bitcoin,51304.974356676415,854910.0,352114.06003765005,1007369631450.0,15587.0,16664965947.715296,2136.0,13425293584.876488
2024-02-23,bitcoin,50731.94919085718,948737.0,318351.96690478985,996165857694.0,13349.0,14841879134.413202,2302.0,12066913168.474403
2024-02-24,bitcoin,51571.10311234394,819998.0,179125.06138774016,1012689168468.0,8267.0,8032175343.753827,1529.0,6212413877.298698
2024-02-25,bitcoin,51733.236601700744,903645.0,158284.49610829022,1015926591604.0,9067.0,6986769633.2089615,1824.0,5125806551.576401
2024-02-26,bitcoin,54522.401536787394,880349.0,326148.5283664902,1070743961955.0,13979.0,15735211805.416292,2532.0,12556597764.081308
2024-02-27,bitcoin,57085.3723068546,920422.0,479925.31762990996,1121125657664.0,17259.0,25394153133.14787,3472.0,21495792513.326283
2024-02-28,bitcoin,62504.78925351582,1043145.0,655192.5380489503,1227615937615.0,22745.0,36963735246.907364,4057.0,31552331969.985107
2024-02-29,bitcoin,61198.382897302996,1002767.0,541948.0860052302,1202008882584.0,21954.0,31373668837.31239,3840.0,26326468902.679405
